videoTitle,channelName,videoUrl,watchedAt
"The World's Most Important Machine","Veritasium","https://www.youtube.com/watch?v=MiUHjLxm3V0","2026-01-12T17:26:31.530Z"
"No RDJ in Doomsday? Loki Going Crazy? - RoastVerse 154","ComicVerse","https://www.youtube.com/watch?v=jjJ3wxBsw4E&t=277s","2026-01-12T17:57:32.797Z"
"No RDJ in Doomsday? Loki Going Crazy? - RoastVerse 154","ComicVerse","https://www.youtube.com/watch?v=MiUHjLxm3V0&t=136s","2026-01-12T18:01:01.164Z"
"The World's Most Important Machine","Veritasium","https://www.youtube.com/watch?v=YdOXS_9_P4U&t=255s","2026-01-12T18:03:01.702Z"
"Terence Tao on the cosmic distance ladder","3Blue1Brown","https://www.youtube.com/watch?v=7Fi4T-yR8tM","2026-01-12T18:07:09.863Z"
"The Man Who Accidentally Discovered Antimatter","Veritasium","https://www.youtube.com/watch?v=Y-W-w8yNiKU","2026-01-12T18:29:22.196Z"
"The Man Who Accidentally Discovered Antimatter","Veritasium","https://www.youtube.com/watch?v=6akmv1bsz1M","2026-01-12T18:31:52.324Z"
"Something Strange Happens When You Follow Einstein's Math","Veritasium","https://www.youtube.com/watch?v=m_ZVJgM-bZI","2026-01-12T18:34:23.175Z"
"Eddie Redmayne winning Best Actor | 87th Oscars (2015)","Oscars","https://www.youtube.com/watch?v=Z07BJZ46Nok","2026-01-12T18:36:23.746Z"
